iso1	iso2	group	community
-19.2866808	11.807065	1	1
-19.221664	12.3566308	1	1
-19.2886216	13.1917252	1	1
-20.1027872	10.2381928	1	1
-18.8814105	12.634493	1	1
-19.4334984	13.7409462	1	1
-20.1764315	8.9152968	1	1
-19.3887082	11.0065138	1	1
-19.6331069	10.394999	1	1
-19.2601798	12.1548936	1	1
-19.4257088	11.9012888	1	1
-18.7558032	11.5086104	1	1
-19.3935767	10.4082928	1	1
-19.684713	10.0851512	1	1
-21.0138135	6.1624576	1	1
-19.1861786	8.4346748	1	1
-18.905753	11.0351466	1	1
-19.5863693	9.9736878	1	1
-19.2183107	9.7037214	1	1
-19.967086	8.3436634	1	1
-20.0586138	9.2772972	1	1
-19.2962067	9.648501	1	1
-19.4490776	9.7333768	1	1
-20.1160621	10.768248	1	1
-19.0449921	8.6545338	1	1
-19.5221051	9.4143256	1	1
-19.3283388	13.063985	1	1
-19.655502	6.994854	1	1
-19.3478128	8.677031	1	1
-19.3332073	12.0577466	1	1
-19.869716	10.0565184	1	1
-19.4977626	9.4992014	1	1
-19.6292121	11.0361692	1	1
-19.3059437	12.4698544	1	1
-20.4656204	7.8773578	1	1
-20.3312384	9.0383501	1	1
-19.6964288	10.2551423	1	1
-20.8365152	7.6090703	1	1
-18.8371616	12.9072281	1	1
-19.8872672	9.2398124	1	1
-20.135456	9.3340286	1	1
-18.7966208	10.5939197	1	1
-18.4821824	11.3546654	1	1
-22.0655936	8.5552415	1	1
-20.0523968	10.2290825	1	1
-19.1160032	11.2644584	1	1
-21.4485824	8.1643445	1	1
-18.3081536	13.6599554	1	1
-20.1690752	7.698275	1	1
-20.125568	9.6868382	1	1
-20.6703968	6.8473223	1	1
-18.919232	12.3068504	1	1
-19.2890432	10.1428847	1	1
-19.7666336	10.2892205	1	1
-21.1005248	5.5543553	1	1
-20.6071136	8.6915543	1	1
-21.0164768	7.5389093	1	1
-20.4854912	9.1997204	1	1
-20.713904	8.8178441	1	1
-19.532288	11.8868867	1	1
-21.4673696	8.9040419	1	1
-20.7920192	10.204025	1	1
-21.4021088	7.4948081	1	1
-20.837504	7.4146241	1	1
-20.7366464	9.0784421	1	1
-18.7481696	11.4148034	1	1
-18.1173152	12.9212603	1	1
-18.3328736	11.978096	1	1
-18.5958944	12.1114019	1	1
-19.552064	11.4889736	1	1
-19.0843616	10.3433447	1	1
-20.68424	9.362093	1	1
-20.3549696	10.5017081	1	1
-21.015488	8.3848505	1	1
-19.2089504	11.7245141	1	1
-19.383968	10.8635384	1	1
-20.0049344	9.8742683	1	1
-18.6265472	12.840074	1	1
-18.6700544	13.1016743	1	1
-19.6430336	9.7580015	1	1
-18.2626688	12.9112373	1	1
-20.0227328	11.2203572	2	1
-21.7359704	9.2086524	2	1
-17.6713664	13.3783091	2	1

